task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
116	0a/b95d6d	2289882	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-09 23:37:15.767	3m 40s	3m 41s	386.2%	5.3 GB	6.6 GB	23.8 GB	21.2 GB
145	28/189277	2339432	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-09 23:40:56.172	36s	36s	139.3%	9.8 MB	219.4 MB	6 GB	3.2 MB
117	77/e42f45	2288655	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-09 23:37:12.149	5m 1s	5m	527.6%	8.4 GB	9.3 GB	17 GB	14.4 MB
120	c2/9af641	2297885	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-09 23:37:51.762	4m 29s	4m 29s	417.1%	5.3 GB	6.6 GB	28.9 GB	25.3 GB
146	1f/7b11bc	2351414	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-09 23:42:20.907	37.4s	37s	147.3%	17.2 MB	219.4 MB	7 GB	3.9 MB
123	69/6b2301	2308336	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (514a93da-9c6d-4030-8ce2-d470861690d3)	COMPLETED	0	2026-06-09 23:38:37.713	4m 27s	4m 27s	504.6%	8 GB	9.2 GB	11.4 GB	14.4 MB
121	75/48b9b4	2297307	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-09 23:37:49.789	5m 32s	5m 32s	544.4%	8.3 GB	9.3 GB	20 GB	14.5 MB
125	ca/c32e0d	2320138	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-09 23:39:37.073	3m 59s	3m 58s	439.0%	5.3 GB	6.6 GB	31.9 GB	28.7 GB
129	a1/70c5e9	2322121	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-09 23:39:42.282	3m 55s	3m 55s	440.2%	5.3 GB	6.6 GB	29.8 GB	26.4 GB
148	5c/3039c3	2359494	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-09 23:43:37.414	36.7s	37s	145.3%	18 MB	219.4 MB	7.4 GB	3.4 MB
