sample,fastq_1,fastq_2,strandedness
e9fae13c-4513-4afe-a03f-a2f90bff3f3c,/data/JZ/test_star_salmon/raw_data/e9fae13c-4513-4afe-a03f-a2f90bff3f3c_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/e9fae13c-4513-4afe-a03f-a2f90bff3f3c_2.fastq.gz,unstranded
SRR7961323,/data/JZ/test_star_salmon/raw_data/SRR7961323_1.fastq.gz,,unstranded
ERR2539158,/data/JZ/test_star_salmon/raw_data/ERR2539158_1.fastq.gz,,reverse
cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe,/data/JZ/test_star_salmon/raw_data/cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe_2.fastq.gz,unstranded
7cb4e820-bf76-406f-a0df-dc6d06b2e935,/data/JZ/test_star_salmon/raw_data/7cb4e820-bf76-406f-a0df-dc6d06b2e935_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/7cb4e820-bf76-406f-a0df-dc6d06b2e935_2.fastq.gz,unstranded
d90389dc-120f-4e74-b3f0-8d3ac60bd3c4,/data/JZ/test_star_salmon/raw_data/d90389dc-120f-4e74-b3f0-8d3ac60bd3c4_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/d90389dc-120f-4e74-b3f0-8d3ac60bd3c4_2.fastq.gz,unstranded
dbd793a8-1b32-480d-9366-bb7b45c14549,/data/JZ/test_star_salmon/raw_data/dbd793a8-1b32-480d-9366-bb7b45c14549_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/dbd793a8-1b32-480d-9366-bb7b45c14549_2.fastq.gz,unstranded
2ea4421b-3693-4689-947f-da0c9da8b888,/data/JZ/test_star_salmon/raw_data/2ea4421b-3693-4689-947f-da0c9da8b888_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/2ea4421b-3693-4689-947f-da0c9da8b888_2.fastq.gz,unstranded
2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c,/data/JZ/test_star_salmon/raw_data/2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c_2.fastq.gz,unstranded
SRR8528594,/data/JZ/test_star_salmon/raw_data/SRR8528594_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/SRR8528594_2.fastq.gz,reverse
0b72f9e4-598b-4eb2-addc-9d23aeadd6a8,/data/JZ/test_star_salmon/raw_data/0b72f9e4-598b-4eb2-addc-9d23aeadd6a8_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/0b72f9e4-598b-4eb2-addc-9d23aeadd6a8_2.fastq.gz,unstranded
