sample,fastq_1,fastq_2,strandedness
4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9,/data/JZ/test_star_salmon/raw_data/4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9_2.fastq.gz,unstranded
SRR7411445,/data/JZ/test_star_salmon/raw_data/SRR7411445_1.fastq.gz,,reverse
SRR11355830,/data/JZ/test_star_salmon/raw_data/SRR11355830_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/SRR11355830_2.fastq.gz,reverse
a4a420c8-a195-4077-b621-6f8bfa02b39b,/data/JZ/test_star_salmon/raw_data/a4a420c8-a195-4077-b621-6f8bfa02b39b_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/a4a420c8-a195-4077-b621-6f8bfa02b39b_2.fastq.gz,unstranded
364ef418-4b6a-4a3e-84f9-57ca755e1101,/data/JZ/test_star_salmon/raw_data/364ef418-4b6a-4a3e-84f9-57ca755e1101_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/364ef418-4b6a-4a3e-84f9-57ca755e1101_2.fastq.gz,unstranded
ERR2539101,/data/JZ/test_star_salmon/raw_data/ERR2539101_1.fastq.gz,,reverse
a71a46bf-206a-4ef4-8878-1451e351a6bf,/data/JZ/test_star_salmon/raw_data/a71a46bf-206a-4ef4-8878-1451e351a6bf_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/a71a46bf-206a-4ef4-8878-1451e351a6bf_2.fastq.gz,unstranded
SRR7411440,/data/JZ/test_star_salmon/raw_data/SRR7411440_1.fastq.gz,,reverse
b0a12dfa-fb35-4b78-9886-47354d0f521e,/data/JZ/test_star_salmon/raw_data/b0a12dfa-fb35-4b78-9886-47354d0f521e_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/b0a12dfa-fb35-4b78-9886-47354d0f521e_2.fastq.gz,unstranded
5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22,/data/JZ/test_star_salmon/raw_data/5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22_2.fastq.gz,unstranded
8982e051-d476-4b65-a541-663f3f2892f2,/data/JZ/test_star_salmon/raw_data/8982e051-d476-4b65-a541-663f3f2892f2_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/8982e051-d476-4b65-a541-663f3f2892f2_2.fastq.gz,unstranded
514a93da-9c6d-4030-8ce2-d470861690d3,/data/JZ/test_star_salmon/raw_data/514a93da-9c6d-4030-8ce2-d470861690d3_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/514a93da-9c6d-4030-8ce2-d470861690d3_2.fastq.gz,unstranded
e96d9259-bbe6-461a-9f11-37f985253dea,/data/JZ/test_star_salmon/raw_data/e96d9259-bbe6-461a-9f11-37f985253dea_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/e96d9259-bbe6-461a-9f11-37f985253dea_2.fastq.gz,unstranded
SRR14189737,/data/JZ/test_star_salmon/raw_data/SRR14189737_1.fastq.gz,/data/JZ/test_star_salmon/raw_data/SRR14189737_2.fastq.gz,unstranded
