task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	95/99b9ea	3001675	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (d90389dc-120f-4e74-b3f0-8d3ac60bd3c4)	COMPLETED	0	2026-06-10 07:05:19.386	11m 27s	11m 27s	697.1%	1.3 GB	9.4 GB	108.5 GB	103.7 GB
40	3d/e89506	2988969	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-10 07:04:33.524	15m 41s	15m 41s	694.3%	1.3 GB	9.5 GB	148.8 GB	141.6 GB
23	39/4d86ec	3123832	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-10 07:11:52.016	11m 18s	11m 17s	717.0%	1.3 GB	9.5 GB	113.6 GB	108.4 GB
42	55/f83548	3058219	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (8982e051-d476-4b65-a541-663f3f2892f2)	COMPLETED	0	2026-06-10 07:08:07.757	15m 49s	15m 49s	714.3%	1.5 GB	9.4 GB	156.4 GB	149.7 GB
28	5c/d4580f	3136673	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (a4a420c8-a195-4077-b621-6f8bfa02b39b)	COMPLETED	0	2026-06-10 07:12:27.165	12m 57s	12m 57s	718.8%	1.3 GB	9.5 GB	134.8 GB	128.7 GB
5	e4/1ec65c	3286215	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR7961323)	COMPLETED	0	2026-06-10 07:23:09.734	2m 18s	2m 18s	425.6%	1.5 GB	9.3 GB	19 GB	18.1 GB
54	da/047c8a	3317966	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-06-10 07:25:27.964	43.4s	43s	96.3%	1.6 GB	1.9 GB	5.1 GB	2.1 GB
3	d2/be4e7b	3102595	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (e9fae13c-4513-4afe-a03f-a2f90bff3f3c)	COMPLETED	0	2026-06-10 07:10:38.590	15m 50s	15m 50s	733.1%	1.3 GB	9.4 GB	162.7 GB	155.5 GB
10	c0/bc2d32	3213162	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (7cb4e820-bf76-406f-a0df-dc6d06b2e935)	COMPLETED	0	2026-06-10 07:16:46.264	12m 22s	12m 22s	682.1%	1.5 GB	9.5 GB	131.6 GB	125.8 GB
15	90/8bc5e1	3316492	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (2ea4421b-3693-4689-947f-da0c9da8b888)	COMPLETED	0	2026-06-10 07:25:24.058	11m 6s	11m 6s	712.1%	1.3 GB	9.5 GB	115 GB	109.6 GB
32	2c/392012	2801538	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ERR2539101)	COMPLETED	0	2026-06-10 06:52:51.508	43m 40s	43m 40s	464.1%	1.3 GB	9.2 GB	438.3 GB	409.3 GB
14	c3/2cd9c9	3297020	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-10 07:23:56.346	13m 51s	13m 51s	697.0%	1.3 GB	9.5 GB	146.3 GB	140.3 GB
9	73/07783e	3047304	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ERR2539158)	COMPLETED	0	2026-06-10 07:07:29.771	31m 17s	31m 17s	99.9%	3.5 GB	40.6 GB	31.6 GB	1.9 MB
55	7c/c2eaf3	3331467	NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2026-06-10 07:26:11.360	21m 41s	21m 41s	452.5%	18.9 GB	41.4 GB	66.6 GB	37.4 GB
67	37/1a17ff	3413294	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c)	COMPLETED	0	2026-06-10 07:47:52.099	4m 8s	4m 7s	479.7%	17.8 GB	21.3 GB	20.3 GB	14.3 MB
59	7f/6be7ff	3413321	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR7411445)	COMPLETED	0	2026-06-10 07:47:52.102	4m 15s	4m 14s	469.4%	17.7 GB	21.2 GB	19.2 GB	14.2 MB
66	99/63f78d	3413215	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (514a93da-9c6d-4030-8ce2-d470861690d3)	COMPLETED	0	2026-06-10 07:47:52.090	5m 25s	5m 24s	517.0%	17.9 GB	21.3 GB	20.9 GB	14.4 MB
